elapsed_time_sec,ch0_voltage,ch1_voltage,ch2_voltage,ch3_voltage
46.170074,-0.002661907,-0.005332787,-0.00506994,0.028873624
46.180077,-0.0035570704,-0.006831913,-0.007206667,0.027483929
46.190075,-0.002220683,-0.005086584,-0.0051954566,0.02896159
46.20008,-0.0041520796,-0.0068140198,-0.0065105064,0.027943477
46.21007,-0.0030766134,-0.0050830687,-0.004934427,0.028826078
46.220078,-0.0019460771,-0.005177857,-0.005151017,0.029443454
46.23008,-0.003240251,-0.006721006,-0.0068925563,0.027856082
46.240074,-0.001953091,-0.004819155,-0.0046600713,0.028473398
46.25008,-0.0032272877,-0.006787866,-0.006609127,0.027775431
46.26007,-0.0024080707,-0.0047448887,-0.0056531094,0.029131472
46.270073,-0.0024652227,-0.005145957,-0.00514164,0.029599974
46.28008,-0.0029422024,-0.007328162,-0.007703198,0.0270677
46.290073,-0.0011547265,-0.0047321147,-0.0046207793,0.029948005
46.300083,-0.0033861469,-0.0058999322,-0.0066023967,0.026689328
46.31007,-0.0024909577,-0.0058973655,-0.0053565158,0.029377716
46.320076,-0.0020736044,-0.0050471383,-0.005101816,0.030160645
46.330082,-0.0050932528,-0.008053703,-0.0073897494,0.026794665
46.340073,-0.002354964,-0.0018726029,-0.004043713,0.028993431
46.35008,-0.003680588,-0.006592698,-0.0064063394,0.02795146
46.36007,-0.0021639806,-0.0049732476,-0.005411172,0.029094227
46.370075,-0.0018700811,-0.0052701253,-0.004985381,0.029672168
46.38008,-0.0032978405,-0.006796361,-0.0071913027,0.027682604
46.390076,-0.0019548556,-0.0049586403,-0.005346933,0.029728612
46.400078,-0.0038852917,-0.0065169525,-0.007174661,0.027930245
46.41007,-0.0025631923,-0.0053479522,-0.004974596,0.027563509
46.42008,-0.0020868988,-0.004419388,-0.0054892567,0.029319428
46.43008,-0.004061029,-0.0072178063,-0.00837179,0.027468825
46.44007,-0.0031145334,-0.0046808175,-0.0044647474,0.028987005
46.45009,-0.00354005,-0.0067028264,-0.006324479,0.027786331
46.460068,-0.0022277916,-0.004673747,-0.0047789197,0.028760364
46.47008,-0.002475229,-0.0048879813,-0.0049200817,0.029375268
46.480087,-0.0038841325,-0.006845685,-0.00750565,0.02788954
46.490074,-0.0021499528,-0.0053068744,-0.005369588,0.029216953
46.500084,-0.0033144113,-0.0065612122,-0.0069449795,0.027196469
46.51007,-0.0023526931,-0.0048304745,-0.0052279145,0.028265502
46.520084,-0.0030195324,-0.0055881655,-0.0057159886,0.028179193
46.530087,-0.003818027,-0.006700591,-0.007207696,0.027495997
46.540073,-0.002172875,-0.004921894,-0.00523178,0.029273229
46.550083,-0.0038707885,-0.0073978775,-0.0062711737,0.027976666
46.56007,-0.0022567816,-0.004670397,-0.005232383,0.028326273
46.57008,-0.0030234451,-0.0053000497,-0.004734861,0.029005803
46.580086,-0.002887889,-0.007493621,-0.0072634853,0.028317578
46.590076,-0.002104948,-0.0045595826,-0.0053344,0.028637107
46.600082,-0.0042448803,-0.0066642207,-0.006377647,0.027245885
46.61007,-0.002078915,-0.0056238947,-0.005385612,0.027741604
46.620083,-0.0021569075,-0.0051216395,-0.0047529764,0.028857803
46.630142,-0.003437645,-0.0066570626,-0.0071449494,0.028065661
46.64008,-0.0026033926,-0.0047613056,-0.005301942,0.02843963
