elapsed_time_sec,ch1_voltage,ch2_voltage,ch3_voltage,ch4_voltage,ch5_voltage,ch6_voltage,ch7_voltage,ch8_voltage
10.730091,-0.002323315,-0.005308746,-0.003690251,2.7432876,5.08,5.08,5.08,5.08
10.740096,-0.002015,-0.005144881,-0.003123913,2.7185001,5.08,5.08,5.08,5.08
10.750084,-0.000473339,-0.005152214,-0.003916943,2.7189524,5.08,5.08,5.08,5.08
10.762767,-0.002870233,-0.006265068,-0.004952928,2.7150657,5.08,5.08,5.08,5.08
10.770092,-0.002138007,-0.005306331,-0.004681998,2.7268465,5.08,5.08,5.08,5.08
10.780102,-0.001803517,-0.005355099,-0.003494383,2.727876,5.08,5.08,5.08,5.08
10.790098,-0.005731599,-0.005055522,-0.003987507,2.7199163,5.08,5.08,5.08,5.08
10.8000765,-0.002019589,-0.006246948,-0.004417398,2.728372,5.08,5.08,5.08,5.08
10.810724,-0.001591515,-0.005585029,-0.004124192,2.7276409,5.08,5.08,5.08,5.08
10.820092,-0.005867453,-0.009292665,-0.008103439,2.7437084,5.08,5.08,5.08,5.08
10.830071,-0.001202617,-0.005355804,-0.003706278,2.7318826,5.08,5.08,5.08,5.08
10.840073,-0.001295773,-0.005251319,-0.004769467,2.7076278,5.08,5.08,5.08,5.08
10.850065,-0.001930207,-0.005768123,-0.003962515,2.689384,5.08,5.08,5.08,5.08
10.860093,-0.003901378,-0.008062255,-0.006086435,2.7418656,5.08,5.08,5.08,5.08
10.870081,-0.003199386,-0.007542851,-0.005843123,2.7179368,5.08,5.08,5.08,5.08
10.880074,-0.001115813,-0.004641703,-0.003669435,2.7318974,5.08,5.08,5.08,5.08
10.890071,-0.001985996,-0.005666144,-0.004169859,2.7098422,5.08,5.08,5.08,5.08
10.900066,-0.001552756,-0.00378524,-0.00455232,2.6692884,5.08,5.08,5.08,5.08
10.910094,-0.004392633,-0.007497051,-0.005759084,2.7358375,5.08,5.08,5.08,5.08
10.920082,-0.003343557,-0.007306695,-0.005505156,2.7084618,5.08,5.08,5.08,5.08
