elapsed_time_sec,ss1_lp_ma,ss2_lp_ma,ss3_lp_ma,ss4_lp_ma
4.55007,0.270612,0.365374,0.467391,0.38394
4.56007,0.270613,0.365379,0.467393,0.383924
4.57007,0.270614,0.365384,0.467396,0.383908
4.58007,0.270615,0.365388,0.467399,0.383893
4.5901,0.270616,0.365393,0.467402,0.383878
4.60008,0.270617,0.365398,0.467405,0.383863
4.61008,0.270618,0.365403,0.467408,0.383847
4.62008,0.270618,0.365407,0.467411,0.383832
4.63008,0.270619,0.365413,0.467414,0.383817
4.64007,0.27062,0.365418,0.467417,0.383802
4.65007,0.270621,0.365423,0.467421,0.383787
4.66007,0.270622,0.365428,0.467424,0.383771
4.67007,0.270623,0.365432,0.467428,0.383756
4.68008,0.270624,0.365436,0.467431,0.383741
4.69009,0.270625,0.365441,0.467435,0.383726
4.70008,0.270626,0.365446,0.467439,0.383711
4.71008,0.270626,0.365451,0.467444,0.383696
4.72008,0.270627,0.365456,0.467448,0.383681
4.73008,0.270628,0.36546,0.467452,0.383666
4.74008,0.270629,0.365465,0.467457,0.383651
4.75008,0.270629,0.36547,0.467461,0.383636
4.76008,0.27063,0.365475,0.467465,0.383621
4.77008,0.270631,0.365479,0.46747,0.383606
4.78008,0.270631,0.365484,0.467474,0.383591
4.79007,0.270632,0.365489,0.467479,0.383577
4.80008,0.270632,0.365494,0.467485,0.383562
4.81008,0.270632,0.365498,0.46749,0.383547
4.82009,0.270633,0.365503,0.467496,0.383532
4.83008,0.270634,0.365508,0.467501,0.383517
4.84007,0.270635,0.365512,0.467507,0.383503
4.85007,0.270636,0.365516,0.467512,0.383489
4.86008,0.270636,0.365521,0.467517,0.383474
4.87008,0.270637,0.365525,0.467523,0.383459
4.88008,0.270637,0.36553,0.467528,0.383444
4.89007,0.270637,0.365535,0.467534,0.383429
4.90009,0.270638,0.36554,0.467539,0.383415
4.91008,0.270638,0.365545,0.467545,0.3834
4.9201,0.270639,0.36555,0.467552,0.383385
4.9301,0.270639,0.365552,0.467559,0.38337
4.9401,0.270639,0.365555,0.467565,0.383354
4.95009,0.270638,0.365558,0.467571,0.38334
4.9601,0.270636,0.36556,0.467577,0.383325
4.9701,0.270636,0.365563,0.467583,0.38331
4.98009,0.270635,0.365565,0.46759,0.383295
4.99011,0.270633,0.365567,0.467596,0.38328
5.0001,0.270631,0.365584,0.467565,0.383289
5.01008,0.270633,0.365598,0.467534,0.383281
5.02008,0.270633,0.365608,0.467501,0.383264
5.03008,0.270634,0.365617,0.467469,0.383244
5.04007,0.270635,0.365624,0.467438,0.383223
5.05007,0.270635,0.365631,0.467404,0.383202
5.06007,0.270635,0.365638,0.46737,0.383179
5.07007,0.270635,0.365645,0.467338,0.383157
5.08007,0.270635,0.365652,0.467306,0.383135
5.09007,0.270635,0.365659,0.467274,0.383113
5.10008,0.270635,0.365666,0.467242,0.38309
5.11008,0.270635,0.365673,0.46721,0.383068
5.12008,0.270636,0.36568,0.467178,0.383046
5.13007,0.270636,0.365688,0.467147,0.383024
5.14008,0.270636,0.365696,0.467115,0.383001
5.15007,0.270637,0.365702,0.467084,0.382978
5.16008,0.270638,0.36571,0.467052,0.382954
5.17008,0.27064,0.365718,0.467021,0.382931
5.18008,0.27064,0.365726,0.46699,0.382908
5.19007,0.27064,0.365734,0.466959,0.382885
5.20007,0.270641,0.365742,0.466929,0.382862
5.21008,0.270641,0.365749,0.466899,0.382839
5.22008,0.270642,0.365756,0.466869,0.382815
5.23008,0.270644,0.365763,0.466839,0.382791
5.24009,0.270644,0.365771,0.466809,0.382768
5.25008,0.270645,0.365779,0.46678,0.382746
5.26008,0.270646,0.365787,0.466751,0.382722
5.27007,0.270647,0.365796,0.466721,0.382699
5.28008,0.270647,0.365804,0.466692,0.382676
5.29008,0.270648,0.365811,0.466663,0.382652
5.30008,0.270648,0.365819,0.466634,0.382629
5.31008,0.270649,0.365826,0.466604,0.382605
5.32008,0.270649,0.365834,0.466576,0.382582
5.33008,0.270651,0.365841,0.466547,0.382558
5.34008,0.270652,0.365848,0.466518,0.382534
5.35007,0.270652,0.365855,0.466491,0.38251
5.36008,0.270653,0.365863,0.466463,0.382487
5.37007,0.270655,0.36587,0.466435,0.382465
5.38007,0.270656,0.365878,0.466407,0.382441
5.39007,0.270657,0.365886,0.466379,0.382417
5.40008,0.270658,0.365895,0.466352,0.382393
5.41008,0.270659,0.365903,0.466324,0.382369
5.4201,0.270661,0.365912,0.466298,0.382346
5.43016,0.270661,0.36592,0.466271,0.382322
5.44009,0.270662,0.365929,0.466243,0.382298
5.45009,0.270664,0.365936,0.466216,0.382275
5.4601,0.270665,0.365945,0.466188,0.382251
5.47019,0.270666,0.365953,0.466161,0.382228
5.48008,0.270667,0.365961,0.466133,0.382205
5.49008,0.270668,0.365969,0.466107,0.382182
5.50007,0.270668,0.365977,0.466081,0.382158
